eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
416.6,28.76,392.71,22.84,189,0.004146989,0.033325195,0.15217157,-0.0011626269,0.07709732,0.9341479688882828,2291,18767872,111609.9748087707,18767872
416.6,29.01,392.37,23.14,190,0.007318946,0.04675293,0.15315622,0.00064103847,0.06702221,0.9347652643918991,2292,18776064,111652.963491634,18776064
415.66,29.3,390.34,23.13,189,0.021210706,0.07698568,0.17279607,0.0038974558,0.13741429,0.8931071683764458,2293,18784256,111696.19748541899,18784256
419.06,29.34,376.99,22.18,186,0.003028399,0.034016926,0.17487858,-0.0009371504,0.06256623,0.9437118023633957,2294,18792448,111740.13736672373,18792448
417.25,29.12,368.7,21.88,190,0.0105097825,0.07039388,0.19361599,0.0028898132,0.12043057,0.9142987951636314,2295,18800640,111783.22079208773,18800640
410.51,28.46,367.2,21.83,188,0.0010835674,0.012736003,0.19785567,-0.0010529986,0.35651264,0.8155201375484467,2296,18808832,111826.61370194983,18808832
399.65,27.57,361.08,22.07,189,0.0019957798,0.024088541,0.19186723,-0.0011973409,0.29208073,0.8030248135328293,2297,18817024,111869.77062880574,18817024
400.59,27.18,359.73,22.8,189,0.0021319906,0.016764322,0.1776817,-0.002107207,0.10549291,0.9030322954058647,2298,18825216,111913.1113533196,18825216
400.59,26.77,367.68,22.86,191,0.009458811,0.059244793,0.18494378,0.0019134488,0.10544288,0.945621483027935,2299,18833408,111955.96220814157,18833408
399.7,25.67,368.02,21.96,189,0.0018979162,0.022623697,0.17276447,-0.00094963453,0.2277314,0.8470586091279984,2300,18841600,111999.2756135827,18841600
403.47,25.61,350.22,20.21,190,0.001471492,0.014119466,0.17921227,-0.0012020328,0.1676696,0.8719913959503174,2301,18849792,112042.16747458978,18849792
412.22,26.38,362.91,20.29,188,0.0017484479,0.018147787,0.19666205,-0.0013277835,0.102915145,0.9027190059423447,2302,18857984,112085.65322254784,18857984
408.46,25.92,361.78,20.28,188,0.0013346476,0.016845703,0.17817199,-0.0015653226,0.18811433,0.8299275785684586,2303,18866176,112129.1045855498,18866176
400.25,25.72,368.69,20.82,186,0.0026680238,0.025349936,0.19244741,-0.00080407545,0.26624486,0.8163728266954422,2304,18874368,112173.09982820088,18874368
393.18,25.92,371.34,21.32,190,0.0010878621,0.012329102,0.16795586,-0.0013793331,0.24572663,0.8462525308132172,2305,18882560,112216.14960988099,18882560
397.09,26.31,375.68,22.4,186,0.00081248675,0.010294597,0.18052661,-0.0016882522,0.09276811,0.8959423452615738,2306,18890752,112260.04636424175,18890752
394.57,26.11,371.1,21.44,188,0.00077259046,0.008992513,0.18484728,-0.001664153,0.16755937,0.8747505396604538,2307,18898944,112303.45394488284,18898944
392.34,26.41,369.24,21.41,190,0.0027006483,0.03137207,0.17957278,-0.00092648785,0.17173646,0.8896652236580849,2308,18907136,112346.54213705985,18907136
402.83,26.93,369.78,21.29,191,0.001632018,0.016601562,0.18315864,-0.002269006,0.087782614,0.9332526102662086,2309,18915328,112389.42603222001,18915328
405.67,27.03,374.45,21.14,189,0.000828356,0.010375977,0.18789649,-0.0012974489,0.16708992,0.8871181532740593,2310,18923520,112432.60099082487,18923520
399.97,26.96,378.65,21.03,183,0.00055215263,0.0056152344,0.19301037,-0.0015056425,0.18609321,0.9149220660328865,2311,18931712,112477.14093466476,18931712
396.74,26.53,384.71,22.15,188,0.0056628003,0.038330078,0.19633047,0.0005755432,0.32236284,0.8293179720640182,2312,18939904,112520.67452391982,18939904
403.74,26.75,379.7,21.5,190,0.003923719,0.03621419,0.20331971,-0.00034471657,0.08806831,0.9472287818789482,2313,18948096,112563.57988942694,18948096
403.74,27.08,376.7,21.57,189,0.002541281,0.025675455,0.20850861,-0.002412237,0.078671955,0.9255710765719414,2314,18956288,112606.71940491861,18956288
406.91,27.49,374.04,21.93,193,0.0046499385,0.045043945,0.19987541,-0.0008431635,0.094567545,0.9176046773791313,2315,18964480,112649.10974480957,18964480
413.54,27.88,367.54,21.56,193,0.0031741317,0.034871418,0.21244901,0.00013486226,0.14580318,0.8953441083431244,2316,18972672,112691.49144603964,18972672
416.53,28.65,358.15,20.81,193,0.0023423438,0.022786459,0.20507705,-0.0011132052,0.15977392,0.8780958876013756,2317,18980864,112733.93300590385,18980864
413.63,28.64,362.0,21.37,188,0.0017017891,0.01969401,0.20865178,-0.00087774714,0.17423068,0.8465668708086014,2318,18989056,112777.46130227065,18989056
412.26,27.98,366.52,21.29,194,0.0016845417,0.020792643,0.21362422,-0.0010128759,0.1475562,0.8618283867835999,2319,18997248,112819.6712219799,18997248
410.14,27.31,354.83,20.1,191,0.0015614033,0.017374674,0.20647295,-0.0019656997,0.15307929,0.8993118554353714,2320,19005440,112862.53614986595,19005440
410.21,27.38,362.91,20.84,192,0.0024617668,0.021891275,0.20136146,-0.00031578375,0.13018619,0.9102196916937828,2321,19013632,112905.15792027488,19013632
411.56,26.72,360.97,21.06,194,0.0026901911,0.031046549,0.20700811,4.30486e-05,0.120416336,0.9297408983111382,2322,19021824,112947.26075115195,19021824
412.27,26.16,348.32,20.23,193,0.0066605457,0.057739258,0.21236034,0.0006992841,0.1902954,0.9162166640162468,2323,19030016,112989.66706198175,19030016
413.64,26.68,360.76,20.71,191,0.0036241568,0.036010742,0.21053882,-0.0010914559,0.075877525,0.9473519511520863,2324,19038208,113032.33952337084,19038208
414.24,26.76,359.97,20.57,189,0.01068111,0.064086914,0.18914397,0.002752771,0.11934528,0.9161570146679878,2325,19046400,113075.59801153373,19046400
414.41,27.1,355.46,20.12,190,0.01848279,0.08947754,0.19772662,0.0053361244,0.10156298,0.9347204491496086,2326,19054592,113118.63688485976,19054592
411.04,27.33,360.71,20.16,187,0.002052294,0.021647135,0.20127653,-0.0019976294,0.23569739,0.8925000429153442,2327,19062784,113162.31037418358,19062784
409.95,27.98,358.59,20.32,190,0.0024381077,0.024129232,0.20425959,-0.00076066627,0.18429394,0.9096841290593147,2328,19070976,113205.28193383757,19070976
406.3,27.85,346.22,19.8,195,0.012659572,0.08052572,0.20560066,0.0028271556,0.2526382,0.8411939442157745,2329,19079168,113247.25240911497,19079168
400.59,27.47,352.18,19.84,196,0.005193041,0.05090332,0.2052812,0.00017385076,0.2997748,0.8452755957841873,2330,19087360,113289.04542599386,19087360
396.8,26.91,358.11,20.83,193,0.0023860831,0.026448568,0.20429341,-0.0014291558,0.19958293,0.924225777387619,2331,19095552,113331.32557940157,19095552
395.39,26.38,361.7,21.3,182,0.0011214569,0.014160156,0.19895482,-0.001073859,0.1462772,0.9186909049749374,2332,19103744,113376.2597835958,19103744
392.23,25.83,359.2,21.17,191,0.001930554,0.022827148,0.23473127,-0.0019691316,0.18076754,0.8813903853297234,2333,19111936,113419.11358760856,19111936
398.64,26.42,367.59,22.04,193,0.013075832,0.06254069,0.18331818,0.003274977,0.069833755,0.9645743817090988,2334,19120128,113461.4113412397,19120128
403.34,26.98,359.55,21.28,193,0.013053809,0.07519531,0.20391887,0.004545241,0.0758823,0.9449458308517933,2335,19128320,113503.69984622672,19128320
402.34,26.73,349.92,20.36,192,0.007456764,0.05493164,0.20101799,0.00066065905,0.25916427,0.8289254903793335,2336,19136512,113546.32600609167,19136512
406.21,26.96,358.97,20.76,189,0.0012720802,0.015258789,0.21630509,-0.0012757924,0.1987351,0.8271191418170929,2337,19144704,113589.5200603879,19144704
404.29,26.74,360.15,21.33,188,0.003947225,0.044840496,0.2138474,-0.0010128086,0.21088362,0.8400100469589233,2338,19152896,113632.89337079087,19152896
399.79,25.82,368.36,21.77,191,0.0018237239,0.020629883,0.22536318,-0.0012841119,0.20238955,0.831337183713913,2339,19161088,113675.5879550837,19161088
398.45,25.4,374.14,22.31,192,0.0020458947,0.021240234,0.23099089,-0.0015973416,0.16388336,0.9048833921551704,2340,19169280,113718.25136922486,19169280
401.22,25.76,364.63,21.61,192,0.0013858353,0.018310547,0.22569604,-0.0015319927,0.19734381,0.8650214821100235,2341,19177472,113760.86095578969,19177472
404.6,26.36,367.38,21.83,181,0.0024419322,0.023111979,0.23826301,-0.0014631635,0.07599286,0.9356375858187675,2342,19185664,113805.90862077195,19185664
