eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
395.96,25.18,270,0.0045218077,0.051920574,0.34601006,-0.007590026,0.07996879,0.9532585702836514,3177,6506496,25848.05012535397,6506496
397.71,25.51,264,0.0046462757,0.049641926,0.3371928,-0.0034752127,0.047159616,0.8468014597892761,3178,6508544,25855.784582673106,6508544
399.06,25.87,262,0.004049634,0.041992188,0.30655783,-0.0020093147,0.3228068,0.7558818757534027,3179,6510592,25863.600580941886,6510592
396.66,25.58,265,0.0014229892,0.011230469,0.32166526,-0.003909211,0.62845165,0.6396765112876892,3180,6512640,25871.315370897762,6512640
393.4,25.7,257,0.0049909656,0.0476888,0.32382965,-0.0057601742,0.16492529,0.7560780644416809,3181,6514688,25879.280684994068,6514688
393.4,25.79,269,0.001968272,0.023925781,0.31647873,-0.004543688,0.06311366,0.9265155866742134,3182,6516736,25886.882916057017,6516736
386.85,25.03,276,0.008273191,0.07698568,0.3615445,-0.0028595738,0.2485578,0.9362984225153923,3183,6518784,25894.29720398411,6518784
389.37,25.16,269,0.007596101,0.07047526,0.36236838,-0.004863024,0.30456898,0.7276303470134735,3184,6520832,25901.907519895118,6520832
381.47,24.69,267,0.0015105774,0.019205729,0.34053424,-0.002991142,0.555156,0.6294666230678558,3185,6522880,25909.55329687288,6522880
379.79,24.13,268,0.007984265,0.052408855,0.3604722,-0.0066171116,0.17034288,0.8680831044912338,3186,6524928,25917.19117990276,6524928
377.97,24.15,264,0.008904654,0.08317057,0.34468678,-0.0026621406,0.12874138,0.9148333221673965,3187,6526976,25924.927088757046,6526976
369.77,23.27,258,0.007958033,0.06217448,0.2979327,-0.005007481,0.2392894,0.9426639415323734,3188,6529024,25932.84544799896,6529024
